hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#corona,51,6,8,29,1,0,7,0
#berlin,28,2,5,8,4,1,8,0
#kinder,14,1,1,11,0,0,1,0
#covid19,13,1,7,3,2,0,0,0
#schnelltests,10,0,0,9,1,0,0,0
#mahe,10,8,0,2,0,0,0,0
#lockdown,9,0,3,2,0,0,4,0
#agh,8,5,1,1,0,1,0,0
#schule,8,1,0,7,0,0,0,0
#2g,7,0,0,6,0,0,1,0
#mpk,7,0,0,7,0,0,0,0
#allesistdrin,7,0,0,7,0,0,0,0
#dbdk21,7,0,0,7,0,0,0,0
#marzahn,7,6,1,0,0,0,0,0
#cdu,6,0,0,4,0,0,2,0
#afd,5,0,4,0,0,0,0,1
#klargehtdas,5,0,0,5,0,0,0,0
#r2g,5,1,0,3,0,0,1,0
#merkel,4,0,3,0,0,0,1,0
#coronavirus,4,1,3,0,0,0,0,0
#homeschooling,4,1,0,1,0,1,1,0
#impfung,4,1,2,1,0,0,0,0
#homeoffice,4,1,0,1,0,1,1,0
#deutschland,4,0,4,0,0,0,0,0
#impfen,4,1,0,2,1,0,0,0
#biesdorf,4,4,0,0,0,0,0,0
#jugendliche,4,0,0,4,0,0,0,0
#plenum,4,1,0,3,0,0,0,0
#linkelvv,3,3,0,0,0,0,0,0
#mahlsdorf,3,1,0,2,0,0,0,0
#schulen,3,0,1,2,0,0,0,0
#triell,3,0,0,3,0,0,0,0
#lichtenberg,3,3,0,0,0,0,0,0
#spd,3,0,1,1,0,0,1,0
#kita,3,1,1,1,0,0,0,0
#2gberlin,3,0,0,3,0,0,0,0
#enkeltauglichepolitik,3,0,0,0,3,0,0,0
#ganzsicherberlin,3,0,0,0,3,0,0,0
#ferien,3,3,0,0,0,0,0,0
#kindertag,3,2,0,0,0,0,1,0
#paulahatzweimamas,2,0,0,2,0,0,0,0
#covid_19,2,1,1,0,0,0,0,0
#grüne,2,0,2,0,0,0,0,0
#regenbogenfamilien,2,0,0,2,0,0,0,0
#reinickendorf,2,0,0,2,0,0,0,0
#frauen,2,0,0,2,0,0,0,0
#rigaer94,2,1,0,1,0,0,0,0
#danke,2,1,0,1,0,0,0,0
#fightcorona,2,0,0,2,0,0,0,0
#ff,2,0,2,0,0,0,0,0
#einschulung,2,0,0,1,1,0,0,0
#sommer,2,2,0,0,0,0,0,0
#mitte,2,0,0,2,0,0,0,0
#nachbarschaft,2,2,0,0,0,0,0,0
#herzenssacheberlin,2,0,0,0,2,0,0,0
#schulöffnung,2,2,0,0,0,0,0,0
#familien,2,0,0,2,0,0,0,0
#schulstart,2,0,0,2,0,0,0,0
#scholz,2,0,1,1,0,0,0,0
#engagement,2,2,0,0,0,0,0,0
#hellersdorf,2,1,1,0,0,0,0,0
#coronakrise,2,0,0,2,0,0,0,0
#öpnv,2,1,0,0,1,0,0,0
#genozid,2,1,1,0,0,0,0,0
#biontech,2,0,1,0,1,0,0,0
#wegenmorgen,2,0,0,2,0,0,0,0
#wannsee,2,0,0,0,0,0,2,0
#vielzutun,2,0,0,0,0,2,0,0
#agh21,2,1,0,0,0,0,1,0
#kinderarmut,2,1,0,0,1,0,0,0
#afghanistan,2,0,0,2,0,0,0,0
#köpenick,2,2,0,0,0,0,0,0
#testen,2,0,0,2,0,0,0,0
#wk7,2,0,0,0,0,0,2,0
#weitlingkiez,2,2,0,0,0,0,0,0
#zehlendorf,2,0,0,0,0,0,2,0
#klettern,2,1,0,1,0,0,0,0
#zukunft,2,0,0,1,0,0,1,0
#tagderkinderbetreuung,2,0,0,0,1,1,0,0
#btw21,2,1,0,1,0,0,0,0
#stiko,2,0,0,1,1,0,0,0
#impfquote,2,0,0,1,1,0,0,0
#laschet,2,0,0,2,0,0,0,0
#kulturellebildung,1,0,0,1,0,0,0,0
#ortskräfte,1,0,0,1,0,0,0,0
#ortskraefte,1,0,1,0,0,0,0,0
#parteitag,1,0,0,1,0,0,0,0
#pankow,1,1,0,0,0,0,0,0
#parkaue,1,0,0,1,0,0,0,0
#langentagderstadtnatur,1,0,0,1,0,0,0,0
#niemalsvergessen,1,0,0,1,0,0,0,0
#peterpan,1,0,1,0,0,0,0,0
#nichtmeinkanzler,1,0,0,0,1,0,0,0
#lanz,1,0,1,0,0,0,0,0
#pflegeeinrichtungen,1,0,0,1,0,0,0,0
#kubicki,1,0,0,0,0,1,0,0
#neugierigaufjarasch,1,0,0,1,0,0,0,0
#ostsee,1,1,0,0,0,0,0,0
#politik,1,0,0,1,0,0,0,0
#nachbarn,1,1,0,0,0,0,0,0
#müller,1,0,1,0,0,0,0,0
#master,1,0,1,0,0,0,0,0
#marzahnsüd,1,1,0,0,0,0,0,0
#marchwitzaviertel,1,1,0,0,0,0,0,0
#luxemburg,1,0,1,0,0,0,0,0
#luftfilter,1,0,0,0,0,1,0,0
#ltwrlp21,1,0,1,0,0,0,0,0
#merzverhindern,1,0,1,0,0,0,0,0
#mietendeckel,1,1,0,0,0,0,0,0
#mitdir,1,0,0,1,0,0,0,0
#ltwbw21,1,0,1,0,0,0,0,0
#lockerungen,1,0,0,1,0,0,0,0
#msm,1,0,1,0,0,0,0,0
#lockdownverlaengerung,1,0,1,0,0,0,0,0
#msteams,1,1,0,0,0,0,0,0
#linkebpt,1,1,0,0,0,0,0,0
#lebenschancen,1,0,0,1,0,0,0,0
#leaberlin,1,1,0,0,0,0,0,0
#mueller,1,0,0,0,0,0,1,0
#lasstunswasbewegen,1,0,0,1,0,0,0,0
#lasstdieschulenzu,1,0,1,0,0,0,0,0
#megalockdown,1,0,0,1,0,0,0,0
#musik,1,1,0,0,0,0,0,0
#schneemann,1,0,0,0,1,0,0,0
#polizei,1,0,1,0,0,0,0,0
#teamdrosten,1,1,0,0,0,0,0,0
#treptow,1,1,0,0,0,0,0,0
#theateranderparkaue,1,1,0,0,0,0,0,0
#testpflicht,1,0,1,0,0,0,0,0
#testentestentesten,1,0,0,1,0,0,0,0
#testday,1,0,0,1,0,0,0,0
#teammerz,1,0,0,1,0,0,0,0
#tagdesgutenlebens,1,1,0,0,0,0,0,0
#turgutfürxberg,1,0,0,1,0,0,0,0
#tacheles,1,0,0,1,0,0,0,0
#symbolpolitik,1,0,1,0,0,0,0,0
#stufenplan,1,0,0,1,0,0,0,0
#stiftungnaturschutzberlin,1,0,0,1,0,0,0,0
#steglitz,1,0,0,1,0,0,0,0
#stefaniefuchs,1,1,0,0,0,0,0,0
#trump,1,0,0,1,0,0,0,0
#umsonstunddraussen,1,1,0,0,0,0,0,0
#polizeigewalt,1,0,1,0,0,0,0,0
#wikipedia,1,0,1,0,0,0,0,0
#zwangsarbeit,1,0,0,1,0,0,0,0
#zuhause,1,0,0,1,0,0,0,0
#wk76,1,1,0,0,0,0,0,0
#wissenschaft,1,0,0,1,0,0,0,0
#wissa,1,1,0,0,0,0,0,0
#wilmersdorf,1,1,0,0,0,0,0,0
#weltspieltag,1,0,0,1,0,0,0,0
#urlaub,1,1,0,0,0,0,0,0
#weltkindertag,1,0,0,1,0,0,0,0
#welthebammentag,1,0,0,1,0,0,0,0
#wahlprogramm,1,0,0,1,0,0,0,0
#vielfalt,1,0,0,1,0,0,0,0
#verkehrswende,1,0,0,1,0,0,0,0
#vatertag,1,0,0,0,0,0,1,0
#stayathome,1,0,0,0,0,0,1,0
#sport,1,0,0,1,0,0,0,0
#spielplatz,1,1,0,0,0,0,0,0
#redhandday,1,0,0,1,0,0,0,0
#kommunismus,1,0,1,0,0,0,0,0
#schneefrau,1,0,0,0,1,0,0,0
#schneefein,1,0,0,0,1,0,0,0
#schlachtensee,1,0,0,0,0,0,1,0
#schaubude,1,1,0,0,0,0,0,0
#rezo,1,0,1,0,0,0,0,0
#publichealth,1,0,0,1,0,0,0,0
#spiel,1,1,0,0,0,0,0,0
#präsenzunterricht,1,0,0,1,0,0,0,0
#proparents,1,0,0,0,0,1,0,0
#priorität,1,1,0,0,0,0,0,0
#preußenpark,1,1,0,0,0,0,0,0
#praesenzpflichtaussetzen,1,1,0,0,0,0,0,0
#polizeiproblem,1,0,1,0,0,0,0,0
#schnelltestfüralle,1,0,0,1,0,0,0,0
#schnelltestsfüralle,1,0,0,1,0,0,0,0
#schulbauoffensive,1,1,0,0,0,0,0,0
#schuledigital,1,1,0,0,0,0,0,0
#schulenauf,1,1,0,0,0,0,0,0
#selbsttest,1,0,0,1,0,0,0,0
#selbsttesten,1,0,0,1,0,0,0,0
#selbsttests,1,0,0,0,1,0,0,0
#selbsttestsjetzt,1,0,0,1,0,0,0,0
#servicetweet,1,0,0,0,0,0,1,0
#sicher,1,0,0,1,0,0,0,0
#solidarität,1,0,0,1,0,0,0,0
