hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,11,9,1,1,0,0,0,0
#agh,10,8,0,1,0,0,0,1
#afd,5,0,3,1,0,0,0,1
#plenum,5,5,0,0,0,0,0,0
#gewalt,5,2,0,3,0,0,0,0
#corona,5,1,1,3,0,0,0,0
#neukölln,4,1,0,3,0,0,0,0
#antisemitismus,4,1,0,2,1,0,0,0
#rigaer94,3,0,0,3,0,0,0,0
#recht,3,3,0,0,0,0,0,0
#cdu,3,2,0,1,0,0,0,0
#frauen,3,0,0,2,0,1,0,0
#b0105,3,0,1,1,0,1,0,0
#aktuellestunde,3,2,0,1,0,0,0,0
#antifa,3,0,3,0,0,0,0,0
#querdenker,3,0,0,3,0,0,0,0
#wissa,2,2,0,0,0,0,0,0
#b1001,2,0,1,1,0,0,0,0
#rut,2,0,0,2,0,0,0,0
#istanbulkonvention,2,1,0,0,0,1,0,0
#solidarität,2,1,0,0,1,0,0,0
#fdp,2,1,0,0,0,1,0,0
#istanbulconvention,2,0,0,1,1,0,0,0
#noafd,2,0,0,2,0,0,0,0
#endegelände,2,0,0,1,1,0,0,0
#ehrenmord,2,2,0,0,0,0,0,0
#altparteien,2,0,2,0,0,0,0,0
#l_support,2,0,0,2,0,0,0,0
#putin,2,1,0,0,0,0,1,0
#lesbenfeindliche,2,0,0,2,0,0,0,0
#neinzuantisemitismus,2,0,0,0,0,0,2,0
#pandemie,2,2,0,0,0,0,0,0
#gewaltenteilung,2,2,0,0,0,0,0,0
#rassismus,2,1,0,0,1,0,0,0
#versammlungsgesetz,2,0,0,0,0,0,2,0
#lockdown,2,0,0,2,0,0,0,0
#r2g,2,1,1,0,0,0,0,0
#msm,2,0,2,0,0,0,0,0
#nawalny,2,1,0,0,0,0,1,0
#polizeivollzugskräften,1,0,0,0,1,0,0,0
#polizeigewalt,1,1,0,0,0,0,0,0
#parteispenden,1,1,0,0,0,0,0,0
#parlamentarismus,1,1,0,0,0,0,0,0
#polizeiproblem,1,0,0,1,0,0,0,0
#neuköllnnazifrei,1,1,0,0,0,0,0,0
#opferschutz,1,1,0,0,0,0,0,0
#opferhilfe,1,1,0,0,0,0,0,0
#moscow,1,1,0,0,0,0,0,0
#moskau,1,1,0,0,0,0,0,0
#mpk,1,0,0,1,0,0,0,0
#myanmar,1,1,0,0,0,0,0,0
#myanmarpolicebrutality,1,1,0,0,0,0,0,0
#myanmarprotests,1,1,0,0,0,0,0,0
#myanmarsolidarity,1,1,0,0,0,0,0,0
#neukoelln,1,0,0,1,0,0,0,0
#neuköllnkomplex,1,0,0,1,0,0,0,0
#preußenpark,1,1,0,0,0,0,0,0
#newrozpirozbe,1,1,0,0,0,0,0,0
#niewiedercdu,1,0,0,1,0,0,0,0
#noracism,1,1,0,0,0,0,0,0
#onurhaftası,1,1,0,0,0,0,0,0
#onuryürüyüşü,1,1,0,0,0,0,0,0
#polızei,1,1,0,0,0,0,0,0
#1mai,1,0,0,1,0,0,0,0
#priorität,1,1,0,0,0,0,0,0
#r1mb,1,0,0,0,0,0,1,0
